cefr_a,cefr_b,level_distance,level_dist_weight,threshold_used,needs_screening,source_a,source_b,text_a,text_b,similarity,score,avg_word_len_delta,ttr_delta,num_words_delta
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,French explorers and fur traders were the first recorded Europeans to pass through this region .,French explorers and fur traders were the first Europeans in the subregion .,0.9219,0.9219,0.083,0.083,3.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The class was gradually taken of service from the early 1980s .,The class was gradually taken out of service from the early 1980s .,0.9219,0.9219,0.145,0.009,1.0
C1,C2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In males , masturbation flushes out old sperm with low motility from the male 's genital tract .",The function of masturbation in males is to flush out old sperm with low motility from the male 's genital tract .,0.9217,0.9217,0.417,0.048,5.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Inductors are also employed in electrical transmission systems , where they are used to limit switching currents and fault currents .","Inductors are also used in electrical transmission systems , where they are used to lower the amount of voltage an electrical device gives off or lower the fault current .",0.9217,0.9217,0.842,0.073,9.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Reintroduction is the release of species back into the wild .,"Reintroduction is the deliberate release of species into the wild , from captivity or relocated from other areas where the species survives .",0.9217,0.9217,0.571,0.09,11.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The metatarsal bones are often broken by soccer players .,The metatarsal bones are often broken by association football players .,0.9216,0.9216,0.778,0.0,1.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,X provides the basic framework for a GUI environment : drawing and moving windows on the display device and interacting with a mouse and keyboard .,X provides the basic components to build GUI environments : drawing and moving windows on the screen and interacting with a mouse or a keyboard .,0.9216,0.9216,0.083,0.042,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,FGM may increase a woman 's risk of having problems during pregnancy and childbirth .,"FGM may place women at higher risk of problems during pregnancy and childbirth , which are more common with the more extensive FGM procedures .",0.9213,0.9213,0.158,0.087,9.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"While admission to some concerts is free , charging for tickets is very common .","While admission to some concerts is free , it is common practice to charge money for concerts by selling admission tickets .",0.9211,0.9211,0.127,0.123,7.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"When war broke out again in 1282 , it was entirely different .","When war broke out again in 1282 , it was an entirely different undertaking .",0.921,0.921,0.35,0.0,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The discovery of the H5 histone appears to date back to 1970's .,"The discovery of the H5 histone appears to date back to the 1970s , and it is now considered an isoform of Histone H1 .",0.9209,0.9209,0.109,0.068,9.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 , on 22 July 2014 .","He died in England on November 16 , 2018 at the age of 81 , due to complications of hip surgery .",0.6577,0.9208,0.862,0.062,11.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The analysis is done on pairs , a member of one group compared to a member of the other group .","The analysis is conducted on pairs , defined as a member of one group compared to a member of the other group .",0.9208,0.9208,0.301,0.025,2.0
A1,C2,5,1.8,0.5,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .","Blossom died on July 8 , 2011 at the age of 87 of cerebrovascular disease .",0.5114,0.9205,0.836,0.091,6.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,His lectures frequently lasted for three or four hours .,His lectures were legendary and frequently used to last for three or four hours .,0.9203,0.9203,0.397,0.0,5.0
B2,C1,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,NMR spectroscopy databases provide information to relate structure and NMR data .,NMR spectra databases correlate chemical structure with NMR data .,0.9202,0.9202,0.051,0.02,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Eight anarchists were convicted of conspiracy .,"In the internationally publicized legal proceedings that followed , eight anarchists were convicted of conspiracy .",0.9201,0.9201,0.333,0.0,8.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Though their shock at the slaughter was great , the Romans began a slow , systematic preparation to reconquer the country .","Though the shock at the slaughter was enormous , the Romans immediately began a slow , systematic process of preparing for the reconquest of the country .",0.9198,0.9198,0.002,0.103,5.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Black helped increase basic scientific and clinical knowledge in cardiology .,"Black contributed to basic scientific and clinical knowledge in cardiology , both as a physician and as a basic scientist .",0.9198,0.9198,1.284,0.211,9.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Drug trafficking and illegal drug use is a big problem in the nation .,Drug trafficking and illicit drug use is a significant problem in Russia .,0.7664,0.9197,0.776,0.006,1.0
C1,C2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Some of the tools for measuring the voltage are the voltmeter and the oscilloscope .,"Instruments for measuring voltages include the voltmeter , the potentiometer , and the oscilloscope .",0.9192,0.9192,2.071,0.048,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The site was excavated in August 2008 and again in August 2009 .,The site was excavated in August 2008 and again in August 2009 and is considered to be an important find by archaeologists .,0.9189,0.9189,0.35,0.05,10.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The area was hit by drought .,The drought caused a lot of desertification .,0.7658,0.9189,1.619,0.0,1.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,On envelopes and postcards there are often four square boxes printed in orange ink at the bottom right for the postcode numbers .,Australian envelopes and postcards often have four square boxes printed in orange at the bottom right for the postcode .,0.9187,0.9187,0.445,0.007,3.0
B2,C1,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Income is highly associated with prenatal health care .,Income is strongly correlated with quality of prenatal care .,0.9184,0.9184,0.083,0.0,1.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"As of 2010 , the municipality had a total population of 8,343 , up from 7,172 as of 2005 .","As of 2010 , the municipality had a total population of 16,785 , up from 15,935 as of 2005 .",0.9184,0.9184,0.0,0.0,0.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,It was released on 19 March 2004 in Spain and on 10 September 2004 in Mexico .,The film was released on 19 March 2004 in Spain and 10 September 2004 in Mexico .,0.9181,0.9181,0.25,0.083,0.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Fighting in city was very violent .,Fighting within the ruined city was fierce and desperate .,0.7649,0.9179,0.667,0.0,3.0
A1,A2,1,1.0,0.6,similar_complexity,UniversalCEFR/readme_en,UniversalCEFR/readme_en,how much longer until my alarm goes off,How much time before my alarm goes off?,0.9179,0.9179,0.125,0.0,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Pamphlets can contain anything , such as user instructions information for kitchen appliances , or religious and political ideas .",Pamphlets can contain anything from information on kitchen appliances to medical information and religious treatises .,0.9179,0.9179,0.447,0.067,2.0
B2,C1,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 480 to 484 .","No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 507 to 531 .",0.9179,0.9179,0.0,0.0,0.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Pallor is seen most easily on the face and palms .,Pallor is more evident on the face and palms .,0.9178,0.9178,0.1,0.0,1.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Architecture is the art and science of designing buildings and structures .,Architecture is the art and science behind building and sculpture design .,0.9177,0.9177,0.091,0.0,0.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 9 May 2019 at the age of 93 .,"He died of a brain hemorrhage on 23 March 1995 , after collapsing during the filming of a coaching video .",0.5735,0.9177,1.963,0.118,9.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"During late April , the Japanese submarines and searched the area where landings were planned .","During late April , the Japanese submarines and reconnoitered the area where landings were planned .",0.9177,0.9177,0.357,0.0,0.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Maria first was a pioneering housewife and mother .,Maria initially fulfilled the traditional role of pioneering housewife and mother .,0.9176,0.9176,1.205,0.0,3.0
C1,C2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Some carbocations such as the 2 - norbornyl cation exhibit more or less symmetrical three - center two -electron bonding .,Some carbocations such as the norbornyl cation exhibit more or less symmetrical three center bonding .,0.9175,0.9175,0.027,0.0,2.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The South developed an agricultural economy .,The South developed an agricultural economy dependent on commodity crops .,0.9174,0.9174,0.033,0.0,4.0
A2,B1,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The university 's 150th anniversary was celebrated in 2003 .,The 150th anniversary was celebrated in 2003 .,0.917,0.917,0.086,0.0,2.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Many course themes are repeated throughout the series .,Many course themes recur throughout the series .,0.917,0.917,0.036,0.0,1.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Instructs the server to return information about the administrators of the server specified by , where is either a server or a user .","Instructs the server to return information about the administrator of the server specified by , or the current server if target is omitted .",0.917,0.917,0.318,0.0,0.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The professors currently hold their positions for three years , extendable for a fourth year .","The professors currently hold their positions for three years , extendable for a fourth year , and give six lectures a year .",0.9169,0.9169,0.5,0.079,6.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Seals were used in very early civilizations .,Seals were used in the earliest civilizations and are of considerable importance in archaeology and art history .,0.9168,0.9168,0.303,0.118,10.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The airport still has an important role in emergency services operation , civil operation , and flight training .","The aerodrome continues to perform an important role in emergency services operation , civil operation , flight training and as accommodation for many community groups and organisations .",0.7639,0.9167,0.53,0.017,9.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The novel is told through narratives alternating between two time periods , and is largely told in the third - person mode .",The novel is told through narratives alternating between two periods and is largely told in the third - person omniscient mode .,0.9167,0.9167,0.3,0.0,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Dumor died on 18 January 2014 in his London home after a cardiac arrest , having been on air the day before .","Dumor died suddenly on 18 January 2014 , in London after suffering cardiac arrest .",0.9165,0.9165,1.388,0.053,8.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The trip was fast , but the rate of people dying was the highest in the history of transportation to Australia .","The passage was relatively fast , but the mortality rate was the highest in the history of transportation to Australia .",0.9165,0.9165,0.708,0.039,1.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The genre itself was defined as different from post- punk due to its darker music and romantic lyrics .,The genre itself was defined as a separate movement from post- punk due to its darker music accompanied by introspective and romantic lyrics .,0.9158,0.9158,0.476,0.0,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Parentheses show how many students enter in a year .,Parentheses show the numbers of admitted students per year .,0.9156,0.9156,0.889,0.0,0.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"At the time of foundation in 1878 the order had only one class , that of Companion .","At the time of foundation in 1878 the order had only one class , that of Companion , with no quota imposed .",0.9154,0.9154,0.091,0.028,4.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"By the end of 2008 , there were a total of 14 schools with about 9268 students .","By the end of 2008 , there were a total of 14 schools serving approximately 9,268 students .",0.9153,0.9153,0.846,0.0,0.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The speech lasted 43 minutes and 2 seconds and had 4931 words .,"The speech lasted about 40 minutes and had 4,955 words .",0.915,0.915,0.028,0.111,1.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The book includes 36 short essays predicting the consequences of global warming .,The book includes 36 short essays predicting the consequences of global warming and has been translated into over twenty languages .,0.9149,0.9149,0.263,0.038,8.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,This species may be found in a variety of open habitats and gardens .,This species may be encountered in a wide range of open habitats and gardens .,0.9148,0.9148,0.269,0.0,1.0
C1,C2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Natural and contaminant organometallic compounds are found in the environment .,Organometallic compounds may be found in the environment .,0.9146,0.9146,0.675,0.0,2.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 3 May 2015 , aged 84 , after a long illness .","She died of esophageal cancer in Tokyo on 11 January 2014 , aged 80 .",0.5712,0.914,0.944,0.0,1.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"As of 2005 , the municipality had a total population of 7,172 .","In 2005 , the municipality had a total population of 7,233 .",0.9138,0.9138,0.306,0.111,1.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Skiing is a winter sport .,Snow is used for some winter sport activities like skiing and sledding .,0.7612,0.9135,0.917,0.0,7.0
B2,C1,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"B. F. Skinner was responsible for a different type of machine called GLIDER , which used his ideas on how learning should be directed with positive reinforcement .",B. F. Skinner was responsible for a different type of machine which used his ideas on how learning should be directed with positive reinforcement .,0.913,0.913,0.077,0.0,2.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Hot chocolate can be made with dark , semisweet , or bittersweet chocolate .","Hot chocolate can be made with dark , semisweet , or bittersweet chocolate chopped into small pieces and stirred into milk with the addition of sugar .",0.9125,0.9125,0.371,0.034,13.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The head and thorax are white .,The head and thorax are white and the abdomen is yellow - orange with a row of black spots .,0.7603,0.9124,0.056,0.111,12.0
C1,C2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Most polyesters are made with a polycondensation reaction .,Synthesis of polyesters is generally achieved by a polycondensation reaction .,0.9123,0.9123,0.45,0.0,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,A number of other visiting diesel and steam engines have also seen service on the line .,A number of other visiting diesel and steam locomotives have also seen service on the line .,0.912,0.912,0.25,0.0,0.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Cooling is when an object gets cold , or lowers in temperature .","Cooling refers to the process of becoming cold , or lowering in temperature .",0.912,0.912,0.621,0.0,1.0
A1,A2,1,1.0,0.6,ok,UniversalCEFR/readme_en,UniversalCEFR/readme_en,Set alarm for 7 am tomorrow,i need to set my alarm for tomorrow at 7 am,0.9117,0.9117,1.0,0.0,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Financial maths is the study of maths for financial markets .,"Financial mathematics is a field of applied mathematics , concerned with financial markets .",0.9116,0.9116,1.417,0.033,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The Vampire Squid likely reproduces slowly by way of a small number of large eggs .,"If hypotheses may be drawn from knowledge of other deep-sea cephalopods , the vampire squid likely reproduces slowly by way of a small number of large eggs .",0.9113,0.9113,0.237,0.007,12.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Scholars rocks can be any color .,"Scholars ' rocks can be any color , and contrasting colors are not uncommon .",0.9113,0.9113,0.667,0.0,6.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .","She died of esophageal cancer in Tokyo on 11 January 2014 , aged 80 .",0.5695,0.9111,0.7,0.0,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Heavy rotation or power rotation is a list of songs that get the most airplay on a radio station .,Heavy rotation or power rotation is a term that applies to a list of songs that get the most airplay on a radio station .,0.911,0.911,0.105,0.061,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"On May 22 , 1933 , Chinese and Japanese representatives met to talk the end of the fight .","On May 22 , 1933 , Chinese and Japanese representatives met to negotiate the end of the conflict .",0.9108,0.9108,0.571,0.0,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,High treason is punished by life in prison .,The penalty for high treason is life imprisonment .,0.9108,0.9108,0.875,0.0,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The bridge 's movements were caused by a'positive feedback ' phenomenon .,"The bridge 's movements were caused by a'positive feedback ' phenomenon , known as synchronous lateral excitation .",0.9107,0.9107,0.367,0.0,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"As of 2017 , the books had collectively sold more than seven million copies , and appeared on numerous childrens ' best-seller lists .","As of 2017 , the books had collectively sold more than seven million copies .",0.9106,0.9106,0.35,0.0,8.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 18 October 2017 .,He died on 21 June 2014 from acute respiratory failure after being hospitalized with pneumonia .,0.5689,0.9103,1.942,0.0,9.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Immediately after their senate confirmation , the emperors went to the camp of the praetorian guard .","Immediately after their senate confirmation , the emperors proceeded to the Castra Praetoria , the camp of the praetorian guard .",0.9101,0.9101,0.356,0.033,3.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The government is led by the Prime Minister , who selects all the remaining ministers .","The Government is led by the Prime Minister , who chooses the other Ministers .",0.9101,0.9101,0.154,0.011,1.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Paper clips can be used to pick a lock .,Paper clips can be bent into a crude but sometimes effective lock picking device .,0.91,0.91,1.452,0.0,5.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"One of the first , and most powerful , techniques to improve performance is the use of instruction pipelining .","One of the first , and most powerful , techniques to improve performance is the use of the instruction pipeline .",0.9097,0.9097,0.235,0.049,1.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The movie received mixed reviews .,The movie got mixed reviews by critics .,0.9095,0.9095,1.029,0.0,2.0
B1,B2,1,1.0,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He worked with major scientific figures and travelers on projects involving their studies .,He collaborated with major scientific figures and travelers of the period on projects involving their studies .,0.9093,0.9093,0.048,0.0,3.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Galaxy groups are the smallest groups of galaxies .,Groups of galaxies are the smallest aggregates of galaxies .,0.9092,0.9092,0.306,0.097,1.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The distinctive horns and muscular neck may have been used in fighting rivals of its own species .,The distinctive horns and the muscular neck may have been used in fighting conspecifics .,0.909,0.909,0.58,0.071,3.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Runner Types Since 1940 , there has been a shift to production of Runner type peanuts in the southeastern U.S .","Since 1940 , the southeastern US region has seen a shift to production of Runner group peanuts .",0.909,0.909,0.446,0.053,4.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"There is also a four color theorem , which is stronger , and much more difficult to prove .","The five color theorem is implied by the stronger four color theorem , but is considerably easier to prove .",0.9089,0.9089,0.458,0.16,2.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,An Event Cache is a gathering organized and attended by geocachers .,Event cache : Meeting organized and attended by geocachers .,0.9089,0.9089,1.034,0.0,3.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Gathering was the job of the women and children .,Gathering is the traditional job of the women and children .,0.9087,0.9087,0.567,0.011,1.0
C1,C2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Neutrophils are the most abundant type of white blood cells in mammals , 70 % of leukocytes .","Neutrophils are the most abundant white blood cell , constituting 60 - 70 % of the circulating leukocytes , and including two functionally unequal subpopulations : neutrophil-killers and neutrophil-cagers .",0.9087,0.9087,1.804,0.054,10.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In 1997 , 81 % of all soybeans were of genetically modified stock .","In 1997 , about 8 % of all soybeans cultivated for the commercial market in the United States were genetically modified .",0.9087,0.9087,0.412,0.007,8.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The Canons are not supposed to be an absolute explanation of the Reformed doctrine , but only explain the five points of doctrine that were being argued over .","The Canons were not intended to be a comprehensive explanation of Reformed doctrine , but only an exposition on the five points of doctrine in dispute .",0.9085,0.9085,0.182,0.028,2.0
A1,C1,4,1.6,0.55,low_sim_for_dist,UniversalCEFR/elg_cefr_en,UniversalCEFR/elg_cefr_en,"The two friends sit in big chairs. They drink tea and talk. At five o'clock Marcel says,  There's a new person in number 42. What's his name? Burton? Barnam?' 'Barton,' Henry says. 'Professor Barton. He's very, very clever. And that's not all. After tomorrow he's going  to be famous, too!' 'Famous?!' Marcel looks at his English friend. 'Why?' 'It's a very  interesting story,' Henry says. 'He has some letters. 
They were under the floor of an old woman's house in Oxford.' 'And . . . ?' Marcel says. 'And they're from Shakespeare to his son,' Henry says. 'Shakespeare!' 'Yes.' Henry smiles. 'Shakespeare. The old lady telephoned Professor Barton, and the Professor visited her. They talked about the letters and she said, ""I want to give them to the British Museum in London. Can you do that for me? And Professor Barton said yes?' 'That's right. 'Where are the letters now?' Marcel asks. 'In the professor's flat. He's going to give them to the British Museum tomorrow morning at ten o'clock. 
A lot of journalists and TV people are going to be there.' Suddenly there's a big BANG! and then a long WHIZZZ! 'What's that noise?' Marcel asks. He goes to the window. Then he remembers. 'Oh - fireworks. Of course, it's the 5th of November - your ""Guy Fawkes Day"".' Then a man walks down the steps from 42 Old Wilton Street. Marcel looks at him. 'Is that Professor   Barton?' he asks. 'Yes,' Henry answers. He always goes to the cinema on Tuesday evenings.'
'
.
","He had said exactly the name Emma wanted him to say. Now she could suggest that it was difficult to explain matters by letter, and she offered to go over to Rouen and speak to him directly. Charles would not hear of troubling her. She insisted. It was a battle of kindness. Finally, she cried, 'Now, not another word, please! I am going!'
'How kind you are!' he said, kissing her on the forehead.
The next morning she was off to Rouen in the coach, to consult Monsieur Leon. She stayed for three days. They were three wonderful days. They stayed down near the harbour at the Hotel de Boulogne, and there they lived, with the curtains closed, the doors locked, the floor covered with flowers, and iced drinks brought up every morning. Towards evening they would take a boat and go and have dinner on one of the islands. As they left the town, smoke rose up among the trees, and the red sun, reflected on the oily water of the harbour, looked like blood on polished metal. 
They went down between the rows of boats, and the noises of the town grew fainter and fainter. When, finally, they arrived at their favourite restaurant, she untied her hat and they stepped out of the boat on to their island. They went into a small cafe, with dark fishing-nets hung up at the door, and sat themselves down in the low-ceilinged room. They ate small fried fish, followed by cherries and cream, and then went and sat on the grass. 
",0.5678,0.9085,0.203,0.044,17.0
A2,B1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The speech lasted 40 minutes and 14 seconds .,The speech lasted 40 minutes and 14 seconds and contained 5154 words .,0.9084,0.9084,0.111,0.111,3.0
B1,B2,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,It was discovered around 6000 BC that wheat seeds could be crushed between simple millstones to make flour .,The earliest archaeological evidence for wheat seeds crushed between simple millstones to make flour dates to 6000 BC .,0.908,0.908,0.647,0.059,0.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The trustee is given legal title to the trust property , but has an obligation to act for the good of the beneficiaries .","While the trustee is given legal title to the trust property , in accepting title the trustee owes a number of fiduciary duties to the beneficiaries .",0.908,0.908,0.516,0.058,3.0
B2,C1,1,1.0,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The European spadefoot toads are small to large sized frogs .,"The European spadefoot toads are small - to large-sized frogs , up to 10 cm in length , which are often inconspicuously colored .",0.9077,0.9077,0.05,0.1,10.0
